creator,stimuli,image,filepath,blip_caption
adults,R,103__3839_56.jpg,../data/adults/stimuli_R/103__3839_56.jpg,a drawing of a man with a box on his head
adults,R,110__3853_56.jpg,../data/adults/stimuli_R/110__3853_56.jpg,drawing of a man sitting at a table with a laptop
adults,R,113__3875_56.jpg,../data/adults/stimuli_R/113__3875_56.jpg,a close up of a drawing of a basketball hoop with a ball
adults,R,138__5332_56.jpg,../data/adults/stimuli_R/138__5332_56.jpg,a drawing of a person with a paper bag on their head
adults,R,140__3917_56.jpg,../data/adults/stimuli_R/140__3917_56.jpg,a drawing of a basketball hoop with a basketball in it
adults,R,157__3929_56.jpg,../data/adults/stimuli_R/157__3929_56.jpg,a black and white outline of a map of the state of kentucky
adults,R,1621__1240_56.jpg,../data/adults/stimuli_R/1621__1240_56.jpg,a drawing of a basketball player jumping to dunk the ball
adults,R,1622__7246_56.jpg,../data/adults/stimuli_R/1622__7246_56.jpg,a drawing of a television with a remote control and a tv screen
adults,R,1626__1261_56.jpg,../data/adults/stimuli_R/1626__1261_56.jpg,drawing of a ice cream cone with a smiley face and a clock
adults,R,1663__1271_56.jpg,../data/adults/stimuli_R/1663__1271_56.jpg,drawing of a black and white outline of a bear with a hat
adults,R,1664__1281_56.jpg,../data/adults/stimuli_R/1664__1281_56.jpg,a drawing of a man with glasses and a smile on his face
adults,R,1665__1291_56.jpg,../data/adults/stimuli_R/1665__1291_56.jpg,a drawing of a vase with a fish in it
adults,R,1666__1302_56.jpg,../data/adults/stimuli_R/1666__1302_56.jpg,drawing of a face with a smile drawn on it
adults,R,1667__364_56.jpg,../data/adults/stimuli_R/1667__364_56.jpg,a drawing of a house with a man holding a dog and a woman holding a dog
adults,R,1675__9732_56.jpg,../data/adults/stimuli_R/1675__9732_56.jpg,a drawing of a cartoon character with a square face
adults,R,1676__9744_56.jpg,../data/adults/stimuli_R/1676__9744_56.jpg,drawing of a hand holding a pot with a handle
adults,R,16__3479_56.jpg,../data/adults/stimuli_R/16__3479_56.jpg,a drawing of a pencil with a drawing of a head
adults,R,1740__1335_56.jpg,../data/adults/stimuli_R/1740__1335_56.jpg,a drawing of a robot with a mask on his head
adults,R,1741__1343_56.jpg,../data/adults/stimuli_R/1741__1343_56.jpg,a drawing of a man and woman with a pencil in their hands
adults,R,1743__1361_56.jpg,../data/adults/stimuli_R/1743__1361_56.jpg,a drawing of a truck and a bus with a cross on it
adults,R,1744__1371_56.jpg,../data/adults/stimuli_R/1744__1371_56.jpg,a close up of a drawing of a cat ' s face with a smile
adults,R,1748__1379_56.jpg,../data/adults/stimuli_R/1748__1379_56.jpg,a drawing of a man with his arms out and his back turned
adults,R,1749__1385_56.jpg,../data/adults/stimuli_R/1749__1385_56.jpg,a drawing of a black and white picture of a cat with a hat
adults,R,174__3974_56.jpg,../data/adults/stimuli_R/174__3974_56.jpg,a drawing of two legs with a broken leg and a broken leg
adults,R,1750__1395_56.jpg,../data/adults/stimuli_R/1750__1395_56.jpg,a drawing of a man with a hat and a smile on his face
