creator,stimuli,image,filepath,blip_caption
AI_prompt3,G,Dalle01.png,../data/AI/prompt_3/stimuli_G/Dalle01.png,a drawing of a person in a helmet with a microphone
AI_prompt3,G,Dalle02.png,../data/AI/prompt_3/stimuli_G/Dalle02.png,a drawing of a man with a halo and a pair of scissors
AI_prompt3,G,Dalle03.png,../data/AI/prompt_3/stimuli_G/Dalle03.png,a black and white drawing of a clock with a face on it
AI_prompt3,G,Dalle04.png,../data/AI/prompt_3/stimuli_G/Dalle04.png,a drawing of a man with a knife and fork in his hand
AI_prompt3,G,Dalle05.png,../data/AI/prompt_3/stimuli_G/Dalle05.png,a drawing of a man and woman in a circle with a cross
AI_prompt3,G,Dalle06.png,../data/AI/prompt_3/stimuli_G/Dalle06.png,a close up of a bird in a cage with a plant inside
AI_prompt3,G,Dalle07.png,../data/AI/prompt_3/stimuli_G/Dalle07.png,a drawing of a man with a nose and a nose ring
AI_prompt3,G,Dalle08.png,../data/AI/prompt_3/stimuli_G/Dalle08.png,a drawing of a man and woman standing in a doorway
AI_prompt3,G,Dalle09.png,../data/AI/prompt_3/stimuli_G/Dalle09.png,a close up of a bird in a circle with a person in it
AI_prompt3,G,Dalle10.png,../data/AI/prompt_3/stimuli_G/Dalle10.png,a drawing of a man in a suit with a tie and a hat
AI_prompt3,G,Dalle11.png,../data/AI/prompt_3/stimuli_G/Dalle11.png,a drawing of a man and woman standing in front of a mannequin
AI_prompt3,G,Dalle12.png,../data/AI/prompt_3/stimuli_G/Dalle12.png,a drawing of a man falling off a building with a hammer
AI_prompt3,G,Dalle13.png,../data/AI/prompt_3/stimuli_G/Dalle13.png,a drawing of a woman with a cup of coffee in her hand
AI_prompt3,G,Dalle14.png,../data/AI/prompt_3/stimuli_G/Dalle14.png,a drawing of a person with a light bulb above their head
AI_prompt3,G,Dalle15.png,../data/AI/prompt_3/stimuli_G/Dalle15.png,drawing of a couple of birds with a heart in a circle
AI_prompt3,G,Dalle16.png,../data/AI/prompt_3/stimuli_G/Dalle16.png,a drawing of a man and a woman in a circle
AI_prompt3,G,Dalle17.png,../data/AI/prompt_3/stimuli_G/Dalle17.png,a drawing of a man standing next to a woman on a surfboard
AI_prompt3,G,Dalle18.png,../data/AI/prompt_3/stimuli_G/Dalle18.png,a black and white image of a person holding a dog in a circle
AI_prompt3,G,Dalle19.png,../data/AI/prompt_3/stimuli_G/Dalle19.png,a drawing of a man playing a game of basketball with a bat
AI_prompt3,G,Dalle20.png,../data/AI/prompt_3/stimuli_G/Dalle20.png,there is a drawing of a man and a woman standing in a doorway
AI_prompt3,G,Dalle21.png,../data/AI/prompt_3/stimuli_G/Dalle21.png,drawing of a man and a woman sitting in a chair
AI_prompt3,G,Dalle22.png,../data/AI/prompt_3/stimuli_G/Dalle22.png,a drawing of a woman holding a candle in her hand
AI_prompt3,G,Dalle23.png,../data/AI/prompt_3/stimuli_G/Dalle23.png,a black and white drawing of a bird in a cage
AI_prompt3,G,Dalle24.png,../data/AI/prompt_3/stimuli_G/Dalle24.png,a drawing of a black and white image of a clock
AI_prompt3,G,Dalle25.png,../data/AI/prompt_3/stimuli_G/Dalle25.png,a drawing of a man and a woman in a circle
AI_prompt3,G,Dalle26.png,../data/AI/prompt_3/stimuli_G/Dalle26.png,drawing of a man standing in a circle with a baby in it
AI_prompt3,G,Dalle27.png,../data/AI/prompt_3/stimuli_G/Dalle27.png,a drawing of a man holding a microphone in a circle
AI_prompt3,G,Dalle28.png,../data/AI/prompt_3/stimuli_G/Dalle28.png,a black and white image of a monkey with a knife and fork
AI_prompt3,G,Dalle29.png,../data/AI/prompt_3/stimuli_G/Dalle29.png,a black and white logo of two people holding hands
AI_prompt3,G,Dalle30.png,../data/AI/prompt_3/stimuli_G/Dalle30.png,a drawing of a man with a bucket and a cane
AI_prompt3,G,Dalle31.png,../data/AI/prompt_3/stimuli_G/Dalle31.png,a black and white drawing of a no dogs allowed sign
AI_prompt3,G,Dalle32.png,../data/AI/prompt_3/stimuli_G/Dalle32.png,a drawing of a person sitting on a chair with a laptop
AI_prompt3,G,Dalle33.png,../data/AI/prompt_3/stimuli_G/Dalle33.png,a black and white logo with a stylized image of a person in a circle
AI_prompt3,G,Dalle34.png,../data/AI/prompt_3/stimuli_G/Dalle34.png,a drawing of two faces with a cross and a cross on the other side
