creator,stimuli,image,filepath,blip_caption
AI_prompt2,I,Dalle01.png,../data/AI/prompt_2/stimuli_I/Dalle01.png,a drawing of a person sitting on a chair with a phone
AI_prompt2,I,Dalle02.png,../data/AI/prompt_2/stimuli_I/Dalle02.png,a black and white drawing of a hand holding a purse
AI_prompt2,I,Dalle03.png,../data/AI/prompt_2/stimuli_I/Dalle03.png,a drawing of a bucket with a watering can and a watering hose
AI_prompt2,I,Dalle04.png,../data/AI/prompt_2/stimuli_I/Dalle04.png,a drawing of a hat and a bag with a handle
AI_prompt2,I,Dalle05.png,../data/AI/prompt_2/stimuli_I/Dalle05.png,cartoon drawing of a man with a microphone and a speaker
AI_prompt2,I,Dalle06.png,../data/AI/prompt_2/stimuli_I/Dalle06.png,someone is putting a piece of paper in a bag
AI_prompt2,I,Dalle07.png,../data/AI/prompt_2/stimuli_I/Dalle07.png,a drawing of a man sitting at a table with a cup of coffee
AI_prompt2,I,Dalle08.png,../data/AI/prompt_2/stimuli_I/Dalle08.png,a drawing of a purse with a shoe on the ground
AI_prompt2,I,Dalle09.png,../data/AI/prompt_2/stimuli_I/Dalle09.png,drawing of a bird in a bird bath with a bird on the top
AI_prompt2,I,Dalle10.png,../data/AI/prompt_2/stimuli_I/Dalle10.png,a drawing of a teapot and a cup on a table
AI_prompt2,I,Dalle11.png,../data/AI/prompt_2/stimuli_I/Dalle11.png,drawing of a bag with scissors and a pair of scissors in it
AI_prompt2,I,Dalle12.png,../data/AI/prompt_2/stimuli_I/Dalle12.png,"a drawing of a bag, a canister, and a canister of eggs"
AI_prompt2,I,Dalle13.png,../data/AI/prompt_2/stimuli_I/Dalle13.png,a drawing of a purse with a handle and a handle
AI_prompt2,I,Dalle14.png,../data/AI/prompt_2/stimuli_I/Dalle14.png,there is a drawing of a bag of apples and a apple
AI_prompt2,I,Dalle15.png,../data/AI/prompt_2/stimuli_I/Dalle15.png,a drawing of a lock and a vase on a table
AI_prompt2,I,Dalle16.png,../data/AI/prompt_2/stimuli_I/Dalle16.png,a drawing of a bag with a handle and a handle
AI_prompt2,I,Dalle17.png,../data/AI/prompt_2/stimuli_I/Dalle17.png,a drawing of a person sitting on a box with a lamp
AI_prompt2,I,Dalle18.png,../data/AI/prompt_2/stimuli_I/Dalle18.png,a drawing of a handbag with a handle and a string
AI_prompt2,I,Dalle19.png,../data/AI/prompt_2/stimuli_I/Dalle19.png,a drawing of a woman ' s face with a bow in a bag
AI_prompt2,I,Dalle20.png,../data/AI/prompt_2/stimuli_I/Dalle20.png,a drawing of a handbag with a straw and a drink
AI_prompt2,I,Dalle21.png,../data/AI/prompt_2/stimuli_I/Dalle21.png,a drawing of a handbag with a handle on a white background
AI_prompt2,I,Dalle22.png,../data/AI/prompt_2/stimuli_I/Dalle22.png,a drawing of a man holding a bowl and a spoon
AI_prompt2,I,Dalle23.png,../data/AI/prompt_2/stimuli_I/Dalle23.png,there is a drawing of a bird in a cage
AI_prompt2,I,Dalle24.png,../data/AI/prompt_2/stimuli_I/Dalle24.png,a drawing of a circular arch with a circular object on it
AI_prompt2,I,Dalle25.png,../data/AI/prompt_2/stimuli_I/Dalle25.png,a drawing of a purse with a handle on a white background
AI_prompt2,I,Dalle26.png,../data/AI/prompt_2/stimuli_I/Dalle26.png,a drawing of a suitcase with a smile on it
AI_prompt2,I,Dalle27.png,../data/AI/prompt_2/stimuli_I/Dalle27.png,cartoon drawing of a man in a bathtub with a towel and a fish
AI_prompt2,I,Dalle28.png,../data/AI/prompt_2/stimuli_I/Dalle28.png,a drawing of a hot air balloon with a string tied to it
AI_prompt2,I,Dalle29.png,../data/AI/prompt_2/stimuli_I/Dalle29.png,a drawing of a white bag with a handle and a handle
AI_prompt2,I,Dalle30.png,../data/AI/prompt_2/stimuli_I/Dalle30.png,there is a clock that is sitting in a box
AI_prompt2,I,Dalle31.png,../data/AI/prompt_2/stimuli_I/Dalle31.png,a drawing of a bag with a handle and a ball inside
AI_prompt2,I,Dalle32.png,../data/AI/prompt_2/stimuli_I/Dalle32.png,a drawing of a umbrella with a chain hanging from it
AI_prompt2,I,Dalle33.png,../data/AI/prompt_2/stimuli_I/Dalle33.png,a drawing of a bag with a hat on top of it
AI_prompt2,I,Dalle34.png,../data/AI/prompt_2/stimuli_I/Dalle34.png,cartoon drawing of a man running with a stick in his hand
AI_prompt2,I,Dalle35.png,../data/AI/prompt_2/stimuli_I/Dalle35.png,a drawing of a lantern and a trash can on a table
AI_prompt2,I,Dalle36.png,../data/AI/prompt_2/stimuli_I/Dalle36.png,a drawing of a purse with a handle and a hook
AI_prompt2,I,Dalle37.png,../data/AI/prompt_2/stimuli_I/Dalle37.png,a close up of a black and white drawing of a bag
AI_prompt2,I,Dalle38.png,../data/AI/prompt_2/stimuli_I/Dalle38.png,a drawing of a toaster with a toaster on top of it
AI_prompt2,I,Dalle39.png,../data/AI/prompt_2/stimuli_I/Dalle39.png,a drawing of a bird cage with gloves and a glove
AI_prompt2,I,Dalle40.png,../data/AI/prompt_2/stimuli_I/Dalle40.png,a drawing of a light bulb with a fist in it
AI_prompt2,I,Dalle41.png,../data/AI/prompt_2/stimuli_I/Dalle41.png,a drawing of a lock with a spoon on it
AI_prompt2,I,Dalle42.png,../data/AI/prompt_2/stimuli_I/Dalle42.png,a drawing of a handbag with a handle and a strap
AI_prompt2,I,Dalle43.png,../data/AI/prompt_2/stimuli_I/Dalle43.png,a drawing of a bird cage with a bird inside of it
