creator,stimuli,filepath,gpt_caption
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle01.png,"Abstract shapes including circles, lines, and patterns. [3]"
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle02.png,Stylized simple face with minimalistic expression inside a circle. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle03.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle04.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle05.png,"Letter ""N"" inside concentric circles. [5]"
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle06.png,A large pen surrounded by a circle and various small items below it. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle07.png,Geometric shapes and lines resembling abstract flowers and structures. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle08.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle09.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle10.png,A door under a semi-circular structure or archway. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle11.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle12.png,Abstract city skyline with various tall buildings and an arch. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle13.png,Circular maze with paths; has geometric shapes and abstract features. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle14.png,"Circle divided with mountain, moon, horizontal lines, and abstract shapes. [4]"
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle15.png,Geometric pattern with concentric circles and intersecting lines. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle16.png,Hard to interpret. [1]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle17.png,Abstract lines and shapes within concentric circles and squares. Hard to interpret. [3]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle18.png,A spherical birdcage hanging from a stand with a perch inside. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle19.png,"Abstract lines forming a symmetrical, ambiguous shape possibly resembling a face. [3]"
