creator,stimuli,filepath,gpt_caption
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle01.png,Person with short hair inside a circular shape. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle02.png,Human figure with circular elements and lines above and around it. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle03.png,Hard to interpret. [3]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle04.png,A person resting their head on crossed arms with a circular line above. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle05.png,Three abstract figures inside concentric circles with a horizontal line. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle06.png,Bird sitting on a branch inside a glass bell jar. [5]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle07.png,Overlapping outlines of two faces in profile view. [5]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle08.png,Silhouettes of two figures inside an arch-like structure. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle09.png,Abstract bird-like figure within a circle with minimalistic lines. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle10.png,Abstract figures in a protective embrace within a circular shape. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle11.png,Three abstract human-like figures standing inside a circular frame. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle12.png,Abstract geometric shapes and lines within a circle. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle13.png,"Two abstract faces facing each other, surrounded by swirls and curves. [4]"
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle14.png,Abstract figure with a circular head and radiating lines above. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle15.png,Abstract figures with heart symbol and circular elements. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle16.png,Hard to interpret. [2]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle17.png,Two abstract human figures stretching or exercising within a circle. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle18.png,Abstract labyrinth with horse and two human figures intertwined. [3]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle19.png,Hard to interpret. [1]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle20.png,Two people walking and one bent over within archway. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle21.png,Abstract figures of two people inside a circular shape. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle22.png,Abstract shapes forming a figure with flowing elements inside a circle. [3]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle23.png,Abstract geometric figure with two flowers inside a circle. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle24.png,Hard to interpret. [2]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle25.png,Hard to interpret. [3]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle26.png,"Abstract figures arranged around central small figure, encircled by a border. [3]"
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle27.png,"Person with halo and flute, standing within a circle. [3]"
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle28.png,Abstract depiction of a monkey inside a circle. [5]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle29.png,Two abstract figures facing each other with a book below. [3]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle30.png,Abstract figure with a hat and pipe standing by a cylindrical object. [3]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle31.png,Two figures inside a circle engaged in a sport activity. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle32.png,Hard to interpret. [1]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle33.png,"Abstract symbol featuring circles, lines, and a sun-like motif in a circle. [3]"
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle34.png,Two abstract human faces connected with geometric lines and shapes. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle35.png,Hard to interpret. [1]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle36.png,Hard to interpret. [2]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle37.png,"Two stylized cats sitting with a circle and letters ""AL"" above. [5]"
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle38.png,"Abstract figures, possibly people, overlapping within a circular shape. [3]"
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle39.png,Abstract figures walking in a circular path or doorway suggestion. [3]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle40.png,"Two figures resembling pencils, embracing in a circular shape. [5]"
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle41.png,"Abstract figure surrounded by overlapping, swirling lines and shapes. [3]"
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle42.png,Hard to interpret. [2]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle43.png,Hard to interpret. [2]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle44.png,Hard to interpret. [1]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle45.png,Group of people interacting around a central figure or object. [3]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle46.png,"Abstract shapes within a circle, possibly a person with a wheelchair. [3]"
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle47.png,A person sitting inside a round cage suspended by a hook. [4]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle48.png,Hard to interpret. [2]
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle49.png,"A person interacting with two abstract, horse-like figures in a circle. [3]"
AI_prompt3,G,../data/AI/prompt_3/stimuli_G/Dalle50.png,"Abstract figures in front of a circle, possibly two people. [3]"
