creator,stimuli,filepath,gpt_caption
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle01.png,Abstract geometric shapes forming a figure-like structure. [3]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle02.png,Abstract geometric shapes resembling a person with hat and patterned clothing. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle03.png,Hard to interpret. [1]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle04.png,Abstract figure resembling an hourglass with a cube head and curvy lines. [3]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle05.png,Hard to interpret. [3]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle06.png,Abstract human figure with a rectangular torso and oval head. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle07.png,Two abstract kite-like shapes with circular and triangular patterns. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle08.png,Hard to interpret. [2]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle09.png,"Abstract figure with circular head, stick body, and layered arc design. [4]"
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle10.png,A simplistic drawing of a standing stick figure with crossed legs. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle11.png,"Anthropomorphic goat-like creature with arms raised, standing in a shield shape. [4]"
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle12.png,Abstract depiction of a parent holding a child in their arms. [3]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle13.png,"Abstract figure sitting or squatting, composed of geometric shapes and lines. [4]"
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle14.png,A stick figure with outstretched arms and large hands. [5]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle15.png,Abstract bird with geometric shapes and a heart symbol on its body. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle16.png,Anthropomorphic rabbit figure standing upright with simple lines. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle17.png,Hard to interpret. [1]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle18.png,Abstract line drawing resembling a stylized insect or beetle. [3]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle19.png,"Stylized figure sitting cross-legged, arms crossed. [4]"
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle20.png,Abstract figure with elongated arms and head above body. [3]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle21.png,Abstract geometric shapes resembling three figures. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle22.png,Abstract line drawing resembling a face with geometric shapes. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle23.png,Eleven abstract stick figures arranged in two rows. [5]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle24.png,Abstract figure with geometric shapes resembling a human form. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle25.png,Two seated figures back-to-back with a striped panel between them. [5]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle26.png,"Abstract figure with geometric body, simplified eyes, mouth, and arms. [3]"
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle27.png,Abstract humanoid figures in varied dynamic and static poses. [5]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle28.png,Abstract humanoid figure with elongated limbs and geometric shapes. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle29.png,Hard to interpret. [2]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle30.png,Abstract face with spiral neck and exaggerated eyes. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle31.png,Hard to interpret. [3]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle32.png,A person standing in front of paneled windows or shutters. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle33.png,Hard to interpret. [2]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle34.png,Hard to interpret. [2]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle35.png,A stylized person with short hair and a striped shirt. [5]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle36.png,Hard to interpret. [2]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle37.png,Stylized line drawing of a dog with geometric patterns. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle38.png,Abstract outline of a standing person wearing a dress. [4]
AI_prompt3,R,../data/AI/prompt_3/stimuli_R/Dalle39.png,Hard to interpret. [1]
