creator,stimuli,filepath,gpt_caption
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle01.png,A stylized figure in a crouching or seated position. [4]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle02.png,"A person sitting on a box, hand on chin, thoughtful pose. [5]"
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle03.png,"Two faces with bird on head, abstract style. [4]"
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle04.png,Hard to interpret. [1]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle05.png,"Person sitting on a throne with hands folded, abstract style. [4]"
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle06.png,Hard to interpret. [2]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle07.png,Hard to interpret. [3]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle08.png,"Two abstract figures, one standing, another upside down, with a stool. [4]"
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle09.png,Abstract lines forming a stylized letter and geometric shapes. [3]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle10.png,Hard to interpret. [2]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle11.png,"Person sitting on a chair, raising both hands. [4]"
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle12.png,Hard to interpret. [2]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle13.png,Hard to interpret. [2]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle14.png,"Abstract figure leaning over or peering, minimalistic lines. [4]"
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle15.png,Abstract figure sitting with crossed legs. [4]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle16.png,Hard to interpret. [3]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle17.png,"Abstract human figure sitting on a chair, minimalist design. [4]"
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle18.png,Abstract line drawing of a face in profile. [4]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle19.png,"Abstract figure with arms extended, one leg forward, over geometric shapes. [3]"
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle20.png,Hard to interpret. [3]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle21.png,Abstract face made of minimal lines within a geometric shape. [4]
AI_prompt3,I,../data/AI/prompt_3/stimuli_I/Dalle22.png,"Person in running start position on blocks, viewed from behind. [5]"
